# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.2755223995521055,0.18978148163737513,1.3414472534715867,5.054587213864124,17.040293443385146,0.0,0.7320057975813853,1.3661093987289339,61.76084640639887,-251.8442191937818
 0.2897187785923097,0.20984242667254938,1.4131029453610362,5.04746257383804,17.86792314951158,0.0,0.6578344300878349,1.5201393454983478,58.2986481117884,-243.87896975739437
 0.30368216599757647,0.2305571448624489,1.4835023614747154,5.041714740874816,18.636369456912053,0.0,0.5931479702343234,1.6859199562040978,55.03294330361614,-233.8762589184117
 0.31744180631905616,0.2519232509977628,1.5528099307915784,5.037018969795989,19.35142988486832,0.0,0.5365177348474709,1.8638712852321548,51.96795928161085,-222.751754435082
 0.33102142894773096,0.2739379660564941,1.6211580881669674,5.033141144221839,20.018201249627552,0.0,0.48675746439345935,2.054411227665679,49.100875848440296,-211.13130398162966
 0.34444051251853225,0.2965981666600728,1.688654853665659,5.029908722348102,20.641176995619194,0.0,0.44287846553843496,2.2579558000957163,46.424611837665175,-199.43716697602403
 0.35771520918968314,0.3199004272140468,1.755389304270539,5.02719212785556,21.224329777808943,0.0,0.40405355430470813,2.474919449033907,43.9296502689273,-187.9486688505687
 0.370859033033904,0.3438410559571057,1.8214356055589704,5.024892456807455,21.771181605552858,0.0,0.3695880229300772,2.705715385666573,41.60523103665611,-176.84497752099705
 0.3838833812070822,0.3684161259174549,1.8868560356024606,5.022933138275144,22.28486351479759,0.0,0.33889620776107593,2.9507559456227574,39.44012417470398,-166.23533348185913
 0.3967979342663192,0.3936215015950453,1.9517032886834995,5.021254145117904,22.76816642937064,0.0,0.3114825254230394,3.210452973700056,37.42312353793572,-156.18044445801598
 0.40961096764747634,0.4194528620427546,2.0160222547844895,5.019807893076868,23.223584606402422,0.0,0.28692607833917533,3.485218233868237,35.54335366842329,-146.70763851101978
 0.4223295968326746,0.4459057209021236,2.07985141120038,5.018556283579197,23.65335283411344,0.0,0.26486811719331643,3.775463844408804,33.79045189957875,-137.82159565470613
 0.4349599723441205,0.472975443853995,2.143223922941986,5.017468537192462,24.05947835870726,0.0,0.2450017955980864,4.081602739109927,32.15466747016169,-129.5119395250508
 0.447507436303309,0.5006572638669003,2.206168521618577,5.016519583664299,24.44376835659343,0.0,0.22706376897182157,4.40404915556607,30.626905893979817,-121.75859449774207
 0.45997664921722653,0.5289462945627685,2.2687102138013384,5.015688850172364,24.80785363420214,0.0,0.21082728162417316,4.743219152171345,29.198737732863222,-114.53555015670217
 0.4723716934650841,0.5578375419676783,2.330870856705773,5.014959338703343,25.153209126193502,0.0,0.19609645863294903,5.099531154062236,27.862384763253544,-107.81348923709245
 0.48469615838079033,0.5873259148727402,2.3926696296146797,5.014316916116232,25.481171670216806,0.0,0.18270157610906512,5.473406531550895,26.610692331587778,-101.56160451806856
 0.4969532106727977,0.6174062339950048,2.4541234226339683,5.013749762604977,25.79295545943403,0.0,0.17049512880637308,5.865270210362867,25.437093828875412,-95.74883705747507
 0.50914565306959,0.648073240099148,2.5152471593559658,5.013247939402052,26.089665510082025,0.0,0.1593485494677776,6.275551320297479,24.33557124912501,-90.34470239040868
 0.5212759734407347,0.6793216012164637,2.5760540662758156,5.012803047188741,26.372309428187602,0.0,0.14914946304633483,6.704683875994509,23.30061444856212,-85.31982411815078
 0.5333463861609984,0.7111459190774918,2.6365558990043367,5.012407954116718,26.641807715274375,0.0,0.13979938075815468,7.153107507178058,22.32718079592602,-80.6462608359625
